Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Australia,2019,7.234,10.815,0.943,73.900,0.918,0.121,0.430,0.770,0.202
Australia,2020,7.137,10.760,0.937,74.200,0.905,0.210,0.491,0.769,0.205
Denmark,2019,7.693,10.954,0.958,72.700,0.963,0.020,0.174,0.862,0.181
Denmark,2020,7.515,10.910,0.947,73.000,0.938,0.052,0.214,0.818,0.227
Ethiopia,2019,4.100,7.705,0.748,59.000,0.754,0.053,0.732,0.631,0.283
Ethiopia,2020,4.549,7.711,0.823,59.500,0.769,0.188,0.784,0.669,0.252
Finland,2020,7.889,10.750,0.962,72.100,0.962,-0.116,0.164,0.744,0.193
Finland,2019,7.780,10.792,0.937,72.000,0.948,-0.052,0.195,0.755,0.181
France,2019,6.690,10.740,0.958,74.000,0.827,-0.133,0.568,0.735,0.250
France,2020,6.714,10.643,0.947,74.200,0.823,-0.169,0.565,0.732,0.231
Iceland,2020,7.575,10.824,0.983,73.000,0.949,0.160,0.644,0.863,0.172
Iceland,2019,7.533,10.931,0.982,73.000,0.959,,0.699,0.836,0.178
India,2019,3.249,8.818,0.561,60.500,0.876,0.112,0.752,0.648,0.466
India,2020,4.225,8.703,0.617,60.900,0.906,0.075,0.780,0.752,0.383
Japan,2019,5.908,10.632,0.878,75.100,0.806,-0.255,0.617,0.743,0.194
Japan,2020,6.118,10.580,0.887,75.200,0.806,-0.259,0.609,0.742,0.186
Netherlands,2020,7.504,10.901,0.944,72.500,0.935,0.151,0.281,0.784,0.247
Netherlands,2019,7.425,10.953,0.941,72.400,0.886,0.213,0.360,0.838,0.231
New Zealand,2020,7.257,10.600,0.952,73.600,0.918,0.125,0.283,0.849,0.209
New Zealand,2019,7.205,10.666,0.939,73.400,0.912,0.157,0.234,0.816,0.191
Russia,2019,5.441,10.205,0.910,64.700,0.715,-0.116,0.848,0.691,0.200
Russia,2020,5.495,10.162,0.887,65.100,0.714,-0.071,0.823,0.645,0.190
Saudi Arabia,2019,6.561,10.757,0.912,66.600,0.891,-0.147,,0.732,0.238
Saudi Arabia,2020,6.560,10.701,0.890,66.900,0.884,-0.111,,0.754,0.251
Switzerland,2019,7.694,11.136,0.949,74.400,0.913,0.036,0.294,0.798,0.171
Switzerland,2020,7.508,11.081,0.946,74.700,0.917,-0.064,0.280,0.769,0.193
Tanzania,2020,3.786,7.881,0.740,58.500,0.830,0.295,0.521,0.686,0.271
Tanzania,2019,3.640,7.886,0.687,58.000,0.850,0.100,0.589,0.726,0.243
United States,2019,6.944,11.043,0.917,68.200,0.836,0.144,0.707,0.815,0.244
United States,2020,7.028,11.001,0.937,68.100,0.850,0.034,0.678,0.787,0.295
Zambia,2019,3.307,8.155,0.638,55.800,0.811,0.077,0.832,0.743,0.394
Zambia,2020,4.838,8.117,0.767,56.300,0.750,0.056,0.810,0.691,0.345
Zimbabwe,2020,3.160,7.829,0.717,56.800,0.643,-0.009,0.789,0.703,0.346
Zimbabwe,2019,2.694,7.950,0.759,56.200,0.632,-0.064,0.831,0.716,0.235
